City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
123,Altay,CN,2020-05-08 14:11:25,47.87,88.12,56.17,37,0,5.26,clear sky,0.000,0
124,Matagami,CA,2020-05-08 14:11:25,49.75,-77.63,21.2,79,90,17.22,light snow,0.000,0
125,Rajanpur,PK,2020-05-08 14:11:25,29.1,70.33,104.45,8,0,7.7,clear sky,0.000,0
126,Cape Town,ZA,2020-05-08 14:08:07,-33.93,18.42,75.2,53,0,9.17,clear sky,0.000,0
127,Lebedinyy,RU,2020-05-08 14:11:25,58.52,125.52,26.67,97,100,7.52,light snow,0.000,0
128,Norman Wells,CA,2020-05-08 14:11:26,65.28,-126.83,32.0,87,20,4.7,few clouds,0.000,0
129,Dhidhdhoo,MV,2020-05-08 14:11:26,6.88,73.1,85.21,74,97,6.29,overcast clouds,0.000,0
130,Talnakh,RU,2020-05-08 14:11:26,69.49,88.4,35.6,93,75,26.84,light intensity shower rain,0.000,0
131,Vila Velha,BR,2020-05-08 14:11:26,-20.33,-40.29,73.4,69,40,14.99,scattered clouds,0.000,0
132,Honningsvag,NO,2020-05-08 14:11:26,70.98,25.97,37.4,59,75,16.11,broken clouds,0.000,0
133,Jamestown,US,2020-05-08 14:11:26,42.1,-79.24,37.4,44,90,5.82,overcast clouds,0.000,0
134,Mahebourg,MU,2020-05-08 14:11:27,-20.41,57.7,77.0,88,20,3.36,few clouds,0.000,0
135,Bondo,CD,2020-05-08 14:11:27,3.81,23.69,89.76,43,86,1.57,overcast clouds,0.000,0
136,East London,ZA,2020-05-08 14:11:27,-33.02,27.91,69.8,88,40,10.29,scattered clouds,0.000,0
137,Mamallapuram,IN,2020-05-08 14:11:27,12.63,80.17,89.6,66,20,10.29,few clouds,0.000,0
138,Inhambane,MZ,2020-05-08 14:08:39,-23.86,35.38,75.45,66,33,11.21,scattered clouds,0.000,0
139,Chokurdakh,RU,2020-05-08 14:11:27,70.63,147.92,19.56,96,100,8.39,overcast clouds,0.000,0
140,Lerwick,GB,2020-05-08 14:07:31,60.15,-1.15,50.0,76,20,6.93,few clouds,0.000,0
141,Geraldton,AU,2020-05-08 14:11:28,-28.77,114.6,60.8,63,0,12.75,clear sky,0.000,0
142,Avarua,CK,2020-05-08 14:11:28,-21.21,-159.78,77.0,88,2,4.7,clear sky,0.000,0
143,Saint-Philippe,RE,2020-05-08 14:11:28,-21.36,55.77,77.0,78,88,5.82,overcast clouds,0.000,0
144,Hofn,IS,2020-05-08 14:11:28,64.25,-15.21,44.6,36,20,23.04,few clouds,0.000,0
145,Pinsk,BY,2020-05-08 14:11:28,52.12,26.1,56.17,48,100,8.66,overcast clouds,0.000,0
146,Puerto Escondido,MX,2020-05-08 14:11:29,15.85,-97.07,78.8,74,40,0.72,scattered clouds,0.000,0
147,Arbazh,RU,2020-05-08 14:11:29,57.68,48.31,64.99,78,72,5.46,light rain,0.000,0
148,Vao,NC,2020-05-08 14:11:29,-22.67,167.48,73.09,77,14,24.72,few clouds,0.000,0
149,Port Lincoln,AU,2020-05-08 14:11:29,-34.73,135.87,56.91,65,77,17.69,broken clouds,0.000,0
150,Zanjan,IR,2020-05-08 14:11:30,36.67,48.48,68.0,40,20,4.7,few clouds,0.000,0
151,Georgetown,MY,2020-05-08 14:06:53,5.41,100.34,82.4,100,40,17.22,thunderstorm with rain,0.000,0
152,Den Helder,NL,2020-05-08 14:09:17,52.96,4.76,64.4,42,90,11.41,overcast clouds,0.000,0
