City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
87,Dingle,PH,80.1,broken clouds,11.0,122.67,Camp Pasica
92,Ilebo,CD,80.67,light rain,-4.32,20.58,Hôtel des palmes
98,Champerico,GT,86.0,haze,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
104,Georgetown,MY,80.6,thunderstorm,5.41,100.34,Cititel Penang
105,Meulaboh,ID,76.87,overcast clouds,4.14,96.13,Kost Pria
107,Lucea,JM,84.99,few clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
110,Candolim,IN,86.0,scattered clouds,15.52,73.76,Resort Terra Paraiso
116,Belmonte,BR,75.2,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
117,Buritis,BR,75.13,overcast clouds,-15.62,-46.42,Hotel Rainha do Vale
122,Bambous Virieux,MU,75.2,few clouds,-20.34,57.76,Casa Tia Villa
126,Manuk Mangkaw,PH,84.94,clear sky,4.8,119.85,
130,Galle,LK,83.05,light rain,6.04,80.22,CocoBay Unawatuna
131,Matara,LK,81.9,light rain,5.95,80.54,Amaloh Boutique Resort
134,Senador Jose Porfirio,BR,84.74,light rain,-2.59,-51.95,MORADA DO SOL pousada
135,Lorengau,PG,81.82,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
140,Hit,IQ,85.62,clear sky,33.64,42.83,بيت اسماعبل محمد حمد
142,Salalah,OM,84.2,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
144,Ishigaki,JP,76.98,clear sky,24.34,124.16,Hotel Peace Land Ishigakijima
147,Teahupoo,PF,77.0,few clouds,-17.83,-149.27,Vanira Lodge
148,Mashhad,IR,77.0,few clouds,36.3,59.61,Almas 1 Hotel
151,Piacabucu,BR,83.88,broken clouds,-10.41,-36.43,Piaçabuçu News
153,Eslamshahr,IR,75.2,clear sky,35.56,51.23,فروشگاه لوازم و تحریر
154,Hithadhoo,MV,85.62,broken clouds,-0.6,73.08,Scoop Guest House
156,Mana,GF,82.11,overcast clouds,5.66,-53.78,LE SAMANA
162,Sao Paulo De Olivenca,BR,81.21,overcast clouds,-3.38,-68.87,
163,Looc,PH,82.56,scattered clouds,12.26,121.99,Cummings Highlands
166,Itarema,BR,85.68,overcast clouds,-2.92,-39.92,Windvillage
169,Mahebourg,MU,75.2,few clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
170,Sakete,BJ,87.8,few clouds,6.74,2.66,
173,San Lucas Toliman,GT,86.0,haze,14.63,-91.13,TOSA La Laguna Boutique Hotel and Holistic Spa
174,Sao Felix Do Xingu,BR,88.45,broken clouds,-6.64,-51.99,Apart Hotel Rio Xingu
175,Touros,BR,86.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
177,Teguise,ES,77.0,scattered clouds,29.06,-13.56,B&B La Casona de Nazaret
178,Porto Murtinho,BR,79.84,clear sky,-21.7,-57.88,Hotel Pantanal
181,Biak,ID,79.11,light rain,-0.91,122.88,Kost Ariz
